Question_Text,Subject_Domain,Topic_Subdomain,Bloom_Taxonomy,Historical_Pass_Rate,Difficulty_Level
Evaluate the limitations of Thermodynamics with mathematical proofs.,Physics,Thermodynamics,Evaluate,25.8,Hard
Evaluate the limitations of Optics under extreme constraints.,Physics,Optics,Evaluate,38.3,Hard
Explain how Quantum Physics in practice.,Physics,Quantum Physics,Apply,68.4,Medium
What is Probability according to basic principles?,Mathematics,Probability,Remember,85.9,Easy
Derive the formula for Probability considering edge cases.,Mathematics,Probability,Evaluate,25.7,Hard
Define Mechanics,Physics,Mechanics,Remember,70.6,Medium
Describe Optics in practice.,Physics,Optics,Apply,66.3,Medium
Hypothesize Linear Algebra with mathematical proofs.,Mathematics,Linear Algebra,Evaluate,27.8,Hard
Synthesize Algorithms with mathematical proofs.,Computer Science,Algorithms,Evaluate,45.2,Medium
Synthesize Algorithms considering edge cases.,Computer Science,Algorithms,Evaluate,42.6,Hard
What is Probability in simple terms?,Mathematics,Probability,Remember,100.0,Easy
Propose a solution for Relativity with mathematical proofs.,Physics,Relativity,Evaluate,29.7,Hard
Identify Algorithms,Computer Science,Algorithms,Remember,85.5,Easy
Synthesize Geometry in distributed latency environments.,Mathematics,Geometry,Evaluate,27.8,Hard
Define Relativity according to basic principles?,Physics,Relativity,Remember,90.4,Easy
Hypothesize Algorithms assuming failure modes.,Computer Science,Algorithms,Evaluate,19.5,Hard
Synthesize Quantum Physics with mathematical proofs.,Physics,Quantum Physics,Evaluate,28.8,Hard
Name Networking briefly?,Computer Science,Networking,Remember,85.2,Easy
Define Quantum Physics in simple terms?,Physics,Quantum Physics,Remember,83.4,Easy
Propose a solution for Mechanics assuming failure modes.,Physics,Mechanics,Evaluate,46.2,Medium
Explain how Relativity diagrammatically.,Physics,Relativity,Apply,49.7,Medium
Propose a solution for Algorithms considering edge cases.,Computer Science,Algorithms,Evaluate,28.3,Hard
State Data Structures briefly?,Computer Science,Data Structures,Remember,92.7,Easy
Differentiate between Algorithms diagrammatically.,Computer Science,Algorithms,Apply,54.2,Medium
What is Thermodynamics in simple terms?,Physics,Thermodynamics,Remember,100.0,Easy
Propose a solution for Thermodynamics with mathematical proofs.,Physics,Thermodynamics,Evaluate,24.3,Hard
Which of these is Linear Algebra,Mathematics,Linear Algebra,Remember,88.9,Easy
Identify Networking as defined in the textbook?,Computer Science,Networking,Remember,92.6,Easy
Derive the formula for Linear Algebra in distributed latency environments.,Mathematics,Linear Algebra,Evaluate,29.1,Hard
Explain how Linear Algebra diagrammatically.,Mathematics,Linear Algebra,Apply,66.1,Medium
State Calculus as defined in the textbook?,Mathematics,Calculus,Remember,87.9,Easy
Compare Linear Algebra diagrammatically.,Mathematics,Linear Algebra,Apply,60.5,Medium
Critically analyze Data Structures under extreme constraints.,Computer Science,Data Structures,Evaluate,47.1,Medium
List Networking,Computer Science,Networking,Remember,87.8,Easy
Describe Mechanics in a standard system.,Physics,Mechanics,Apply,57.3,Medium
Synthesize Optics assuming failure modes.,Physics,Optics,Evaluate,33.6,Hard
Synthesize Calculus assuming failure modes.,Mathematics,Calculus,Evaluate,38.1,Hard
Hypothesize Relativity in distributed latency environments.,Physics,Relativity,Evaluate,44.3,Hard
Evaluate the limitations of Optics under extreme constraints.,Physics,Optics,Evaluate,29.3,Hard
Name Networking briefly?,Computer Science,Networking,Remember,92.0,Easy
Name Calculus briefly?,Mathematics,Calculus,Remember,92.3,Easy
Synthesize Mechanics assuming failure modes.,Physics,Mechanics,Evaluate,14.5,Hard
Derive the formula for Data Structures in distributed latency environments.,Computer Science,Data Structures,Evaluate,17.6,Hard
Synthesize Quantum Physics assuming failure modes.,Physics,Quantum Physics,Evaluate,34.7,Hard
Hypothesize Data Structures with mathematical proofs.,Computer Science,Data Structures,Evaluate,33.3,Hard
Compare Statistics in practice.,Mathematics,Statistics,Apply,50.0,Medium
Derive the formula for AI under extreme constraints.,Computer Science,AI,Evaluate,29.8,Hard
Evaluate the limitations of Mechanics with mathematical proofs.,Physics,Mechanics,Evaluate,27.8,Hard
Critically analyze Probability with mathematical proofs.,Mathematics,Probability,Evaluate,32.3,Hard
Synthesize Probability assuming failure modes.,Mathematics,Probability,Evaluate,34.9,Hard
Evaluate the limitations of Data Structures in distributed latency environments.,Computer Science,Data Structures,Evaluate,40.3,Hard
Propose a solution for Calculus with mathematical proofs.,Mathematics,Calculus,Evaluate,21.6,Hard
State Quantum Physics briefly?,Physics,Quantum Physics,Remember,93.0,Easy
Differentiate between Quantum Physics in practice.,Physics,Quantum Physics,Apply,61.7,Medium
Explain how Database in practice.,Computer Science,Database,Apply,59.4,Medium
Name Quantum Physics in simple terms?,Physics,Quantum Physics,Remember,90.7,Easy
Synthesize Quantum Physics considering edge cases.,Physics,Quantum Physics,Evaluate,52.3,Medium
Compare Data Structures using an example.,Computer Science,Data Structures,Apply,55.4,Medium
Outline Statistics diagrammatically.,Mathematics,Statistics,Apply,52.4,Medium
Describe Thermodynamics diagrammatically.,Physics,Thermodynamics,Apply,53.2,Medium
Propose a solution for Algorithms considering edge cases.,Computer Science,Algorithms,Evaluate,28.6,Hard
Compare Optics for a specific case.,Physics,Optics,Apply,66.7,Medium
Explain how Thermodynamics in practice.,Physics,Thermodynamics,Apply,60.4,Medium
Define Geometry briefly?,Mathematics,Geometry,Remember,91.5,Easy
State Optics,Physics,Optics,Remember,78.1,Easy
Outline Linear Algebra in a standard system.,Mathematics,Linear Algebra,Apply,64.6,Medium
Differentiate between Optics in practice.,Physics,Optics,Apply,60.1,Medium
Describe Linear Algebra diagrammatically.,Mathematics,Linear Algebra,Apply,57.4,Medium
Evaluate the limitations of Database with mathematical proofs.,Computer Science,Database,Evaluate,31.9,Hard
Calculate Geometry for a specific case.,Mathematics,Geometry,Apply,55.0,Medium
Derive the formula for Algorithms in distributed latency environments.,Computer Science,Algorithms,Evaluate,39.1,Hard
List AI according to basic principles?,Computer Science,AI,Remember,86.9,Easy
Critically analyze Algorithms assuming failure modes.,Computer Science,Algorithms,Evaluate,33.0,Hard
Derive the formula for Geometry assuming failure modes.,Mathematics,Geometry,Evaluate,32.0,Hard
,Computer Science,Networking,Remember,90.6,Easy
State Probability in simple terms?,Mathematics,Probability,Remember,98.5,Easy
Which of these is Relativity briefly?,Physics,Relativity,Remember,99.7,Easy
Explain how AI diagrammatically.,Computer Science,AI,Apply,65.1,Medium
Evaluate the limitations of Relativity with mathematical proofs.,Physics,Relativity,Evaluate,50.0,Medium
Hypothesize Linear Algebra with mathematical proofs.,Mathematics,Linear Algebra,Evaluate,21.8,Hard
Which of these is Statistics as defined in the textbook?,Mathematics,Statistics,Remember,90.4,Easy
Derive the formula for Mechanics with mathematical proofs.,Physics,Mechanics,Evaluate,23.9,Hard
Derive the formula for Geometry considering edge cases.,Mathematics,Geometry,Evaluate,25.8,Hard
Critically analyze Probability under extreme constraints.,Mathematics,Probability,Evaluate,17.7,Hard
Critically analyze Probability considering edge cases.,Mathematics,Probability,Evaluate,44.9,Hard
Evaluate the limitations of Database considering edge cases.,Computer Science,Database,Evaluate,21.2,Hard
Differentiate between Data Structures diagrammatically.,Computer Science,Data Structures,Apply,59.9,Medium
Compare Quantum Physics diagrammatically.,Physics,Quantum Physics,Apply,66.0,Medium
Name Networking briefly?,Computer Science,Networking,Remember,96.7,Easy
What is Geometry as defined in the textbook?,Mathematics,Geometry,Remember,80.8,Easy
Illustrate Quantum Physics in a standard system.,Physics,Quantum Physics,Apply,68.7,Medium
What is Geometry as defined in the textbook?,Mathematics,Geometry,Remember,91.2,Easy
Synthesize Relativity considering edge cases.,Physics,Relativity,Evaluate,39.6,Hard
Which of these is Linear Algebra according to basic principles?,Mathematics,Linear Algebra,Remember,79.7,Easy
Which of these is Relativity according to basic principles?,Physics,Relativity,Remember,82.7,Easy
Hypothesize Relativity with mathematical proofs.,Physics,Relativity,Evaluate,47.9,Medium
Critically analyze Networking considering edge cases.,Computer Science,Networking,Evaluate,37.3,Hard
Name Optics as defined in the textbook?,Physics,Optics,Remember,88.5,Easy
Evaluate the limitations of Optics in distributed latency environments.,Physics,Optics,Evaluate,29.0,Hard
Synthesize Calculus with mathematical proofs.,Mathematics,Calculus,Evaluate,31.6,Hard
List Data Structures in simple terms?,Computer Science,Data Structures,Remember,89.7,Easy
Name Data Structures,Computer Science,Data Structures,Remember,93.8,Easy
Illustrate Mechanics diagrammatically.,Physics,Mechanics,Apply,76.0,Easy
Differentiate between Relativity diagrammatically.,Physics,Relativity,Apply,55.6,Medium
Name Probability briefly?,Mathematics,Probability,Remember,88.5,Easy
What is Statistics as defined in the textbook?,Mathematics,Statistics,Remember,94.3,Easy
List AI according to basic principles?,Computer Science,AI,Remember,76.8,Easy
What is Calculus,Mathematics,Calculus,Remember,80.6,Easy
Which of these is Thermodynamics as defined in the textbook?,Physics,Thermodynamics,Remember,84.1,Easy
Calculate Optics in a standard system.,Physics,Optics,Apply,45.9,Medium
Compare Probability in a standard system.,Mathematics,Probability,Apply,53.0,Medium
Evaluate the limitations of Calculus under extreme constraints.,Mathematics,Calculus,Evaluate,23.3,Hard
Hypothesize Statistics considering edge cases.,Mathematics,Statistics,Evaluate,34.1,Hard
Illustrate Probability for a specific case.,Mathematics,Probability,Apply,65.6,Medium
Differentiate between Database in practice.,Computer Science,Database,Apply,68.3,Medium
Describe Probability in practice.,Mathematics,Probability,Apply,50.7,Medium
Propose a solution for Relativity considering edge cases.,Physics,Relativity,Evaluate,41.8,Hard
Critically analyze Thermodynamics considering edge cases.,Physics,Thermodynamics,Evaluate,39.0,Hard
Propose a solution for Quantum Physics under extreme constraints.,Physics,Quantum Physics,Evaluate,29.2,Hard
Compare Algorithms diagrammatically.,Computer Science,Algorithms,Apply,59.5,Medium
Critically analyze Mechanics considering edge cases.,Physics,Mechanics,Evaluate,23.3,Hard
Differentiate between Mechanics diagrammatically.,Physics,Mechanics,Apply,58.5,Medium
Identify Statistics according to basic principles?,Mathematics,Statistics,Remember,97.9,Easy
Explain how Mechanics in practice.,Physics,Mechanics,Apply,43.0,Hard
Describe Data Structures using an example.,Computer Science,Data Structures,Apply,66.0,Medium
List AI briefly?,Computer Science,AI,Remember,74.2,Medium
Explain how Algorithms for a specific case.,Computer Science,Algorithms,Apply,74.4,Medium
Differentiate between Networking in practice.,Computer Science,Networking,Apply,81.3,Easy
Describe Data Structures in practice.,Computer Science,Data Structures,Apply,53.5,Medium
List Relativity according to basic principles?,Physics,Relativity,Remember,79.0,Easy
Identify Database as defined in the textbook?,Computer Science,Database,Remember,90.4,Easy
Compare Algorithms for a specific case.,Computer Science,Algorithms,Apply,74.6,Medium
Evaluate the limitations of Optics with mathematical proofs.,Physics,Optics,Evaluate,29.2,Hard
Differentiate between AI in practice.,Computer Science,AI,Apply,41.4,Hard
Evaluate the limitations of Linear Algebra with mathematical proofs.,Mathematics,Linear Algebra,Evaluate,22.3,Hard
Describe Database in practice.,Computer Science,Database,Apply,67.3,Medium
What is Quantum Physics as defined in the textbook?,Physics,Quantum Physics,Remember,83.8,Easy
Differentiate between Thermodynamics in practice.,Physics,Thermodynamics,Apply,70.2,Medium
Which of these is Optics,Physics,Optics,Remember,95.1,Easy
Describe Algorithms in practice.,Computer Science,Algorithms,Apply,48.5,Medium
Describe Calculus diagrammatically.,Mathematics,Calculus,Apply,44.2,Hard
List Database according to basic principles?,Computer Science,Database,Remember,100.0,Easy
List Linear Algebra,Mathematics,Linear Algebra,Remember,77.3,Easy
Derive the formula for AI assuming failure modes.,Computer Science,AI,Evaluate,34.6,Hard
What is Mechanics in simple terms?,Physics,Mechanics,Remember,100.0,Easy
Hypothesize Optics considering edge cases.,Physics,Optics,Evaluate,41.7,Hard
Synthesize Algorithms assuming failure modes.,Computer Science,Algorithms,Evaluate,17.6,Hard
Propose a solution for Statistics assuming failure modes.,Mathematics,Statistics,Evaluate,27.5,Hard
Explain how Relativity using an example.,Physics,Relativity,Apply,60.6,Medium
Identify Calculus,Mathematics,Calculus,Remember,83.5,Easy
Illustrate Networking in practice.,Computer Science,Networking,Apply,50.0,Medium
Hypothesize AI in distributed latency environments.,Computer Science,AI,Evaluate,18.7,Hard
Propose a solution for Optics assuming failure modes.,Physics,Optics,Evaluate,20.2,Hard
Critically analyze Mechanics assuming failure modes.,Physics,Mechanics,Evaluate,34.8,Hard
Critically analyze Calculus assuming failure modes.,Mathematics,Calculus,Evaluate,42.2,Hard
Describe Mechanics diagrammatically.,Physics,Mechanics,Apply,57.9,Medium
Critically analyze Thermodynamics considering edge cases.,Physics,Thermodynamics,Evaluate,30.4,Hard
Identify Geometry according to basic principles?,Mathematics,Geometry,Remember,95.8,Easy
State AI,Computer Science,AI,Remember,91.2,Easy
Illustrate Thermodynamics in a standard system.,Physics,Thermodynamics,Apply,48.2,Medium
State Probability as defined in the textbook?,Mathematics,Probability,Remember,92.4,Easy
